timestamp,market_id,action,cash,invested,equity,peak_equity,drawdown,pnl,fee,slippage
1777881605,2132775,BUY_YES,974.61379375,25.0,999.61379375,1000.0,0.00038620624999998653,0.0,0.32370625000000003,0.0625
1777881605,2132776,BUY_YES,949.1148875,50.0,999.1148875,1000.0,0.0008851124999999911,0.0,0.43640625000000005,0.0625
1778011205,2159398,BUY_YES,923.6192625,75.0,998.6192625,1000.0,0.0013807375000000092,0.0,0.4331250000000002,0.0625
1778061610,2132776,SELL_YES,957.0975221484978,50.0,1007.0975221484978,1007.0975221484978,0.0,7.979353398497803,0.48445261845386545,0.0
1778068804,2159398,SELL_YES,991.440569530044,25.0,1016.440569530044,1016.440569530044,0.0,8.847422381546142,0.5696708229426435,0.0
1778068810,2132775,SELL_YES,1025.0072575294332,0,1025.0072575294332,1025.0072575294332,0.0,8.180481749389287,0.5317394014962595,0.0
1778072405,2159398,BUY_YES,999.5146512794332,25.0,1024.514651279433,1025.0072575294332,0.000480588060603037,0.0,0.43010625000000013,0.0625
1778079607,2159398,SELL_YES,1017.5204061952411,0,1017.5204061952411,1025.0072575294332,0.007304193486627229,-7.486851334192174,0.31128434444861297,0.0
1778083204,2159398,BUY_YES,992.0267061952411,25.0,1017.0267061952411,1025.0072575294332,0.007785848612845506,0.0,0.4312000000000001,0.0625
1778108404,2159398,SELL_YES,1010.1637056709835,0,1010.1637056709835,1025.0072575294332,0.014481411472370444,-7.356700524257537,0.28285996656087065,0.0
1778176808,2159400,BUY_YES,984.7172994209835,25.0,1009.7172994209835,1025.0072575294332,0.014916926681380734,0.0,0.3839062500000001,0.0625
1778209209,2159400,SELL_YES,1018.6481453830015,0,1018.6481453830015,1025.0072575294332,0.006203967922879898,8.484439712018027,0.5982159984653752,0.0
1778212805,2159400,BUY_YES,993.1623203830015,25.0,1018.1623203830015,1025.0072575294332,0.0066779401766676,0.0,0.42332500000000006,0.0625
1778230806,2159400,SELL_YES,1010.2497657178352,0,1010.2497657178352,1025.0072575294332,0.014397451045534916,-8.398379665166352,0.2472666656529408,0.0
